Team,Date,Spread,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,game_id
MIA,2019-09-22,22.0,Sun,3,3,@,DAL,L 6-31,22.0,did not cover,46.5,under,MIA_DAL_2019-09-22
NYJ,2019-09-22,20.5,Sun,3,3,@,NWE,L 14-30,20.5,covered,43.0,over,NYJ_NWE_2019-09-22
NYJ,2020-11-01,20.0,Sun,8,8,@,KAN,L 9-35,20.0,did not cover,49.0,under,NYJ_KAN_2020-11-01
HOU,2021-10-24,18.0,Sun,7,7,@,ARI,L 5-31,18.0,did not cover,47.5,under,HOU_ARI_2021-10-24
MIA,2019-09-15,18.0,Sun,2,2,,NWE,L 0-43,18.0,did not cover,48.5,under,MIA_NWE_2019-09-15
HOU,2021-10-03,17.5,Sun,4,4,@,BUF,L 0-40,17.5,did not cover,47.0,under,HOU_BUF_2021-10-03
NYJ,2020-12-20,17.5,Sun,14,15,@,LAR,W 23-20,17.5,covered,44.5,under,NYJ_LAR_2020-12-20
MIA,2019-12-29,17.5,Sun,16,17,@,NWE,W 27-24,17.5,covered,46.0,over,MIA_NWE_2019-12-29
HOU,2022-12-11,17.0,Sun,13,14,@,DAL,L 23-27,17.0,covered,44.0,over,HOU_DAL_2022-12-11
DEN,2020-11-29,17.0,Sun,11,12,,NOR,L 3-31,17.0,did not cover,36.5,under,DEN_NOR_2020-11-29
NYJ,2019-12-12,17.0,Thu,14,15,@,BAL,L 21-42,17.0,did not cover,44.0,over,NYJ_BAL_2019-12-12
MIA,2019-10-20,17.0,Sun,6,7,@,BUF,L 21-31,17.0,covered,42.5,over,MIA_BUF_2019-10-20
CIN,2018-12-09,17.0,Sun,13,14,@,LAC,L 21-26,17.0,covered,48.5,under,CIN_LAC_2018-12-09
NYJ,2022-01-09,16.5,Sun,17,18,@,BUF,L 10-27,16.5,did not cover,40.5,under,NYJ_BUF_2022-01-09
JAX,2022-01-02,16.5,Sun,16,17,@,NWE,L 10-50,16.5,did not cover,41.5,over,JAX_NWE_2022-01-02
DET,2021-10-24,16.5,Sun,7,7,@,LAR,L 19-28,16.5,covered,50.5,under,DET_LAR_2021-10-24
NYJ,2020-12-13,16.5,Sun,13,14,@,SEA,L 3-40,16.5,did not cover,50.5,under,NYJ_SEA_2020-12-13
WAS,2019-10-24,16.5,Thu,8,8,@,MIN,L 9-19,16.5,covered,42.0,under,WAS_MIN_2019-10-24
NYG,2019-10-10,16.5,Thu,6,6,@,NWE,L 14-35,16.5,did not cover,43.0,over,NYG_NWE_2019-10-10
ARI,2018-11-11,16.5,Sun,9,10,@,KAN,L 14-26,16.5,covered,49.5,under,ARI_KAN_2018-11-11
BUF,2018-09-23,16.5,Sun,3,3,@,MIN,W 27-6,16.5,covered,41.0,under,BUF_MIN_2018-09-23
NYG,2023-01-08,16.0,Sun,17,18,@,PHI,L 16-22,16.0,covered,42.0,under,NYG_PHI_2023-01-08
HOU,2021-10-31,16.0,Sun,8,8,,LAR,L 22-38,16.0,push,46.5,over,HOU_LAR_2021-10-31
LAR,2022-11-27,15.5,Sun,11,12,@,KAN,L 10-26,15.5,did not cover,42.0,under,LAR_KAN_2022-11-27
JAX,2021-01-03,15.5,Sun,16,17,@,IND,L 14-28,15.5,covered,47.5,under,JAX_IND_2021-01-03
WAS,2019-10-06,15.5,Sun,5,5,,NWE,L 7-33,15.5,did not cover,42.0,under,WAS_NWE_2019-10-06
JAX,2022-01-09,15.0,Sun,17,18,,IND,W 26-11,15.0,covered,43.5,under,JAX_IND_2022-01-09
MIA,2019-09-29,15.0,Sun,4,4,,LAC,L 10-30,15.0,did not cover,43.5,under,MIA_LAC_2019-09-29
HOU,2022-12-18,14.5,Sun,14,15,,KAN,L 24-30 (OT),14.5,covered,48.5,over,HOU_KAN_2022-12-18
ATL,2022-01-02,14.5,Sun,16,17,@,BUF,L 15-29,14.5,covered,44.0,push,ATL_BUF_2022-01-02
CAR,2021-12-19,14.5,Sun,14,15,@,BUF,L 14-31,14.5,did not cover,43.0,over,CAR_BUF_2021-12-19
JAX,2021-11-07,14.5,Sun,8,9,,BUF,W 9-6,14.5,covered,48.5,under,JAX_BUF_2021-11-07
CIN,2020-12-21,14.5,Mon,14,15,,PIT,W 27-17,14.5,covered,40.5,over,CIN_PIT_2020-12-21
WAS,2020-10-04,14.5,Sun,4,4,,BAL,L 17-31,14.5,covered,45.0,over,WAS_BAL_2020-10-04
OAK,2018-12-30,14.5,Sun,16,17,@,KAN,L 3-35,14.5,did not cover,52.5,under,OAK_KAN_2018-12-30
NYJ,2018-12-30,14.5,Sun,16,17,@,NWE,L 3-38,14.5,did not cover,46.5,under,NYJ_NWE_2018-12-30
ARI,2018-12-23,14.5,Sun,15,16,,LAR,L 9-31,14.5,did not cover,43.0,under,ARI_LAR_2018-12-23
ARI,2023-01-08,14.0,Sun,17,18,@,SFO,L 13-38,14.0,did not cover,39.5,over,ARI_SFO_2023-01-08
HOU,2022-11-27,14.0,Sun,11,12,@,MIA,L 15-30,14.0,did not cover,47.0,under,HOU_MIA_2022-11-27
PIT,2022-10-09,14.0,Sun,5,5,@,BUF,L 3-38,14.0,did not cover,45.5,under,PIT_BUF_2022-10-09
MIA,2021-10-31,14.0,Sun,8,8,@,BUF,L 11-26,14.0,did not cover,49.0,under,MIA_BUF_2021-10-31
DAL,2020-11-08,14.0,Sun,9,9,,PIT,L 19-24,14.0,covered,44.0,under,DAL_PIT_2020-11-08
ATL,2019-11-10,14.0,Sun,9,10,@,NOR,W 26-9,14.0,covered,51.5,under,ATL_NOR_2019-11-10
MIA,2019-10-28,14.0,Mon,7,8,@,PIT,L 14-27,14.0,covered,44.0,under,MIA_PIT_2019-10-28
NYJ,2019-10-06,14.0,Sun,4,5,@,PHI,L 6-31,14.0,did not cover,43.0,under,NYJ_PHI_2019-10-06
CIN,2018-12-30,14.0,Sun,16,17,@,PIT,L 13-16,14.0,covered,45.0,under,CIN_PIT_2018-12-30
ARI,2018-12-30,14.0,Sun,16,17,@,SEA,L 24-27,14.0,covered,39.5,over,ARI_SEA_2018-12-30
OAK,2018-12-02,14.0,Sun,12,13,,KAN,L 33-40,14.0,covered,53.5,over,OAK_KAN_2018-12-02
ARI,2018-11-25,14.0,Sun,11,12,@,LAC,L 10-45,14.0,did not cover,43.0,over,ARI_LAC_2018-11-25
HOU,2022-11-03,13.5,Thu,8,9,,PHI,L 17-29,13.5,covered,45.5,over,HOU_PHI_2022-11-03
NYJ,2022-01-02,13.5,Sun,16,17,,TAM,L 24-28,13.5,covered,45.5,over,NYJ_TAM_2022-01-02
HOU,2021-09-19,13.5,Sun,2,2,@,CLE,L 21-31,13.5,covered,48.0,over,HOU_CLE_2021-09-19
CIN,2021-01-03,13.5,Sun,16,17,,BAL,L 3-38,13.5,did not cover,46.0,under,CIN_BAL_2021-01-03
JAX,2020-11-15,13.5,Sun,9,10,@,GNB,L 20-24,13.5,covered,47.5,under,JAX_GNB_2020-11-15
NYG,2020-10-04,13.5,Sun,4,4,@,LAR,L 9-17,13.5,covered,50.0,under,NYG_LAR_2020-10-04
DET,2019-12-29,13.5,Sun,16,17,,GNB,L 20-23,13.5,covered,44.0,under,DET_GNB_2019-12-29
CAR,2019-12-29,13.5,Sun,16,17,,NOR,L 10-42,13.5,did not cover,45.0,over,CAR_NOR_2019-12-29
